gene	expression	threshold	direction	TH_id	Fay_id
SRRM2	6.78659636189	7.1804541349411	down	TH50_5178_S01	Sample 1
SRSF11	4.28835856219	4.791339635849	down	TH50_5178_S01	Sample 1
SRSF3	4.89093302171	5.00891947746277	down	TH50_5178_S01	Sample 1
SRSF5	5.51349074559	6.20713806152344	down	TH50_5178_S01	Sample 1
SRSF9	3.28835856219	3.38616454601288	down	TH50_5178_S01	Sample 1
SSB	3.65191274465	3.68129825592041	down	TH50_5178_S01	Sample 1
SSR4	4.55213110825	4.67280930280685	down	TH50_5178_S01	Sample 1
SSSCA1	3.95046841415	4.21805787086487	down	TH50_5178_S01	Sample 1
ST13P15	0	0.0191154181957245	down	TH50_5178_S01	Sample 1
STAB1	1.13750352375	1.78311711549759	down	TH50_5178_S01	Sample 1
STAG3L5P-PVRIG2P-PILRB	2.67129337248	3.07582837343216	down	TH50_5178_S01	Sample 1
STXBP2	0.111031312389	0.162688940763474	down	TH50_5178_S01	Sample 1
TAF1C	2.29572302454	2.58607810735703	down	TH50_5178_S01	Sample 1
TAGLN	3.19692173382	4.27035224437714	down	TH50_5178_S01	Sample 1
TBX1	2.09085343045	2.38209170103073	down	TH50_5178_S01	Sample 1
TCEAL3	1.19534759832	1.8787813782692	down	TH50_5178_S01	Sample 1
TCEAL4	3.79285535236	4.13967382907867	down	TH50_5178_S01	Sample 1
TCIRG1	1.86789646399	2.14778843522072	down	TH50_5178_S01	Sample 1
TIMM44	4.60584986719	4.80256152153015	down	TH50_5178_S01	Sample 1
TMEM138	1.70043971814	1.70575398206711	down	TH50_5178_S01	Sample 1
TMEM18	2.38956681176	2.58819654583931	down	TH50_5178_S01	Sample 1
TMEM259	4.90400231628	4.95282697677612	down	TH50_5178_S01	Sample 1
TMEM265	0.910732661903	0.927516639232635	down	TH50_5178_S01	Sample 1
TMEM9	2.09423606985	2.43625950813293	down	TH50_5178_S01	Sample 1
TNS2	3.87381319836	4.24570965766907	down	TH50_5178_S01	Sample 1
TOMM7	7.75769001873	7.99256181716919	down	TH50_5178_S01	Sample 1
TSPYL2	2.34198574723	2.69625061750412	down	TH50_5178_S01	Sample 1
TTLL3	1.75274859141	1.76518228650093	down	TH50_5178_S01	Sample 1
TTN-AS1	6.41447383643	9.88646411895752	down	TH50_5178_S01	Sample 1
TXNDC11	2.93545974781	3.22514915466309	down	TH50_5178_S01	Sample 1
U2AF1	1.81147103053	3.34787273406982	down	TH50_5178_S01	Sample 1
U2AF1L4	3.10601323762	3.22675108909607	down	TH50_5178_S01	Sample 1
UPF3A	3.48026512205	3.59792333841324	down	TH50_5178_S01	Sample 1
UPP1	1.7398481027	1.78958508372307	down	TH50_5178_S01	Sample 1
UQCRHL	0.722466024471	1.18806540966034	down	TH50_5178_S01	Sample 1
USP54	4.08831123589	4.41722667217255	down	TH50_5178_S01	Sample 1
UTP6	2.63691458036	2.83889693021774	down	TH50_5178_S01	Sample 1
WASH3P	2.98002530024	3.0234797000885	down	TH50_5178_S01	Sample 1
WASH5P	2.48800077083	2.54208934307098	down	TH50_5178_S01	Sample 1
WDR6	3.66220549965	3.81549447774887	down	TH50_5178_S01	Sample 1
WDR83	0.948600847493	1.07155275344849	down	TH50_5178_S01	Sample 1
XPO6	2.67807190511	2.73605787754059	down	TH50_5178_S01	Sample 1
XXbac-B461K10.4	0.411426245726	0.493330076336861	down	TH50_5178_S01	Sample 1
YBX1	8.5483210195	8.70622515678406	down	TH50_5178_S01	Sample 1
ZMAT2	4.32048467802	4.88675343990326	down	TH50_5178_S01	Sample 1
ZRSR2	1.45417589319	1.9229719042778	down	TH50_5178_S01	Sample 1
ZYX	4.14893410453	4.29843562841415	down	TH50_5178_S01	Sample 1
